Materia,Nota
Dibujo de personajes,6.6
Diseño y creatividad,8.1
redacción académica,7
Ingles Elemental II,6.9
Intreo a la animacion digital,7
Tecnicas de Storyboard,7.1
Introduccion al video ,6.9
Fotografia e iluminación,7.4
Introduccion al 3D,7.6
ND,ND
Interfaces,7.5
Medios artisticos digitales,8.3
Ingles elemental III,6.1
Fundamentos de la administración,8.9
Animación digital avanzada,6.7
Técnicas de edición ,7.5
Guión cinematográfico,8
Animación clasica I,8.8
Modelado 3D inorganico,8.3
