Semestre ,1
 Materia ,Nota
Fundamentos de ma Imagen,7.4
Introduccion al dibujo ,7.4
Grafica Digital I,7.1
Historia del arte ,6.9
Comunicación Y lenguaje,6.5
Teoria Multimedia y audiovisual,7.4
ND,ND
Semestre ,2
Materia,Nota
Historia del arte ,7.5
Historia del arte II,6.3
Dibujo Naturalista,7.6
Grafica Digital II,7.9
Semiotica de la imagen,7.8
Ingles Elemental,7.4
Teoria de la comunicación,7.3
Introduccion al cine,7.3
Fotografia e iluminación,6.9
ND,ND
Dibujo de personajes,6.6
Diseño y creatividad,8.1
redacción académica,7
Ingles Elemental II,6.9
Intreo a la animacion digital,7
Tecnicas de Storyboard,7.1
Introduccion al video ,6.9
Fotografia e iluminación,7.4
Introduccion al 3D,7.6
ND,ND
Interfaces,7.5
Medios artisticos digitales,8.3
Ingles elemental III,6.1
Fundamentos de la administración,8.9
Animación digital avanzada,6.7
Técnicas de edición ,7.5
Guión cinematográfico,8
Animación clasica I,8.8
Modelado 3D inorganico,8.3
ND,ND
Actualidad nacional e internacional,7.9
ingles intermedio II,6.1
Marketing,6.7
Sonido digital,8.3
Guion Cinematografico II,8.9
Modelado organico,9
ND,ND
Preproduccion,7.4
Publicidad y marketing,8.6
Direccion de arte,9.2
Metodos estadisticos,8.2
Ingles avanzado,6.6
